Input Size,Bubble Sort,Insertion Sort,Merge Sort,Bucket Sort,Tim Sort
10,0.0997,0.0999,0.0,0.0998,0.0
50,0.8006,0.5,0.49989999999999996,0.3001,0.4002
100,2.5005999999999995,1.3002,0.9000999999999999,0.7001,0.5999
250,15.003800000000002,5.201400000000001,2.5006,2.0004999999999997,1.7003999999999997
500,49.6125,11.903299999999998,5.3014,4.5012,3.3008
750,109.32749999999999,19.6048,8.002099999999999,7.602000000000001,4.5009999999999994
1000,192.449,29.807499999999997,11.0028,10.9028,5.8014
5000,5048.5783,440.61170000000004,63.81609999999999,109.6277,28.307100000000002
7500,9902.4076,934.1366,96.52439999999999,230.15820000000002,47.512
10000,17555.6458,1598.1046,131.1332,373.5944,57.114599999999996
