Input Size,BubbleSort,InsertionSort,Binary InsertionSort,MergeSort,BucketSort,Sorted
10,0.0,0.0,0.0,0.0,0.0,0.0
50,1.001,1.001,1.002,1.002,0.0,0.0
100,0.999,1.0,1.0,1.0,0.0,0.999
250,13.007,31.009,4.001,1.0,0.999,0.0
500,84.02,26.008,10.003,3.999,3.003,0.0
750,207.054,114.025,126.033,6.002,7.002,0.0
1000,317.083,217.053,64.014,9.002,11.003,1.0
5000,7679.935,6218.567,1250.319,129.033,639.164,1.997
7500,17319.371,12814.232,2817.712,190.048,353.092,2.999
10000,31661.993,28189.116,4825.219,356.089,891.23,4.0
